timestamp,spot_price,index_price,atm_strike,ce_strike,ce_symbol,ce_ltp,ce_delta,ce_vega,ce_theta,ce_gamma,ce_open,ce_high,ce_low,ce_close,pe_strike,pe_symbol,pe_ltp,pe_delta,pe_vega,pe_theta,pe_gamma,pe_open,pe_high,pe_low,pe_close
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23000.0,NSE_FO|51310,,,,,,,,,,23000.0,NSE_FO|51311,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23050.0,NSE_FO|51312,,,,,,,,,,23050.0,NSE_FO|51313,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23100.0,NSE_FO|51314,,,,,,,,,,23100.0,NSE_FO|51315,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23150.0,NSE_FO|51316,,,,,,,,,,23150.0,NSE_FO|51317,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23200.0,NSE_FO|51320,,,,,,,,,,23200.0,NSE_FO|51321,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23250.0,NSE_FO|51322,,,,,,,,,,23250.0,NSE_FO|51323,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23300.0,NSE_FO|51324,,,,,,,,,,23300.0,NSE_FO|51325,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23350.0,NSE_FO|51346,,,,,,,,,,23350.0,NSE_FO|51347,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23400.0,NSE_FO|51348,,,,,,,,,,23400.0,NSE_FO|51349,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23450.0,NSE_FO|51352,,,,,,,,,,23450.0,NSE_FO|51353,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23500.0,NSE_FO|51354,,,,,,,,,,23500.0,NSE_FO|51355,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23550.0,NSE_FO|51356,,,,,,,,,,23550.0,NSE_FO|51357,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23600.0,NSE_FO|51358,,,,,,,,,,23600.0,NSE_FO|51359,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23650.0,NSE_FO|51364,,,,,,,,,,23650.0,NSE_FO|51365,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23700.0,NSE_FO|51366,,,,,,,,,,23700.0,NSE_FO|51367,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23750.0,NSE_FO|51370,,,,,,,,,,23750.0,NSE_FO|51371,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23800.0,NSE_FO|51374,,,,,,,,,,23800.0,NSE_FO|51375,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23850.0,NSE_FO|51376,,,,,,,,,,23850.0,NSE_FO|51377,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23900.0,NSE_FO|51378,,,,,,,,,,23900.0,NSE_FO|51379,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,23950.0,NSE_FO|51380,,,,,,,,,,23950.0,NSE_FO|51381,,,,,,,,,
2026-05-14T09:43:31.585227+05:30,23509.25,23509.25,23500.0,24000.0,NSE_FO|51382,,,,,,,,,,24000.0,NSE_FO|51383,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23000.0,NSE_FO|51310,,,,,,,,,,23000.0,NSE_FO|51311,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23050.0,NSE_FO|51312,,,,,,,,,,23050.0,NSE_FO|51313,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23100.0,NSE_FO|51314,,,,,,,,,,23100.0,NSE_FO|51315,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23150.0,NSE_FO|51316,,,,,,,,,,23150.0,NSE_FO|51317,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23200.0,NSE_FO|51320,,,,,,,,,,23200.0,NSE_FO|51321,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23250.0,NSE_FO|51322,,,,,,,,,,23250.0,NSE_FO|51323,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23300.0,NSE_FO|51324,,,,,,,,,,23300.0,NSE_FO|51325,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23350.0,NSE_FO|51346,,,,,,,,,,23350.0,NSE_FO|51347,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23400.0,NSE_FO|51348,,,,,,,,,,23400.0,NSE_FO|51349,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23450.0,NSE_FO|51352,,,,,,,,,,23450.0,NSE_FO|51353,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23500.0,NSE_FO|51354,,,,,,,,,,23500.0,NSE_FO|51355,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23550.0,NSE_FO|51356,,,,,,,,,,23550.0,NSE_FO|51357,207.25,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23600.0,NSE_FO|51358,,,,,,,,,,23600.0,NSE_FO|51359,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23650.0,NSE_FO|51364,,,,,,,,,,23650.0,NSE_FO|51365,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23700.0,NSE_FO|51366,,,,,,,,,,23700.0,NSE_FO|51367,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23750.0,NSE_FO|51370,,,,,,,,,,23750.0,NSE_FO|51371,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23800.0,NSE_FO|51374,,,,,,,,,,23800.0,NSE_FO|51375,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23850.0,NSE_FO|51376,,,,,,,,,,23850.0,NSE_FO|51377,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23900.0,NSE_FO|51378,,,,,,,,,,23900.0,NSE_FO|51379,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,23950.0,NSE_FO|51380,,,,,,,,,,23950.0,NSE_FO|51381,,,,,,,,,
2026-05-14T09:43:32.372649+05:30,23508.8,23508.8,23500.0,24000.0,NSE_FO|51382,,,,,,,,,,24000.0,NSE_FO|51383,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23000.0,NSE_FO|51310,,,,,,,,,,23000.0,NSE_FO|51311,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23050.0,NSE_FO|51312,,,,,,,,,,23050.0,NSE_FO|51313,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23100.0,NSE_FO|51314,,,,,,,,,,23100.0,NSE_FO|51315,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23150.0,NSE_FO|51316,,,,,,,,,,23150.0,NSE_FO|51317,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23200.0,NSE_FO|51320,,,,,,,,,,23200.0,NSE_FO|51321,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23250.0,NSE_FO|51322,,,,,,,,,,23250.0,NSE_FO|51323,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23300.0,NSE_FO|51324,,,,,,,,,,23300.0,NSE_FO|51325,108.5,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23350.0,NSE_FO|51346,,,,,,,,,,23350.0,NSE_FO|51347,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23400.0,NSE_FO|51348,,,,,,,,,,23400.0,NSE_FO|51349,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23450.0,NSE_FO|51352,,,,,,,,,,23450.0,NSE_FO|51353,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23500.0,NSE_FO|51354,,,,,,,,,,23500.0,NSE_FO|51355,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23550.0,NSE_FO|51356,,,,,,,,,,23550.0,NSE_FO|51357,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23600.0,NSE_FO|51358,,,,,,,,,,23600.0,NSE_FO|51359,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23650.0,NSE_FO|51364,,,,,,,,,,23650.0,NSE_FO|51365,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23700.0,NSE_FO|51366,,,,,,,,,,23700.0,NSE_FO|51367,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23750.0,NSE_FO|51370,,,,,,,,,,23750.0,NSE_FO|51371,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23800.0,NSE_FO|51374,,,,,,,,,,23800.0,NSE_FO|51375,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23850.0,NSE_FO|51376,,,,,,,,,,23850.0,NSE_FO|51377,,,,,,,,,
2026-05-14T09:43:37.165750+05:30,23509.1,23509.1,23500.0,23900.0,NSE_FO|51378,,,,,,,,,,23900.0,NSE_FO|51379,,,,,,,,,
